bulletin,latitude,longitude,direction_deg,speed_kt,speed_m_s,temperature_c,d2T_dx2_K_m-2,d2T_dy2_K_m-2,laplacian_K_m-2,coriolis_s-1,eta_temperature_K_m-1_s-1
FBNA23,45.0,-80.0,310,85,42.5,-43,6.611570247933884e-12,nan,nan,0.00010182337649086285,nan
FBNA23,45.0,-75.0,330,124,62.0,-43,-6.611570247933884e-12,nan,nan,0.00010182337649086285,nan
FBNA23,45.0,-70.0,170,12,6.0,-45,nan,nan,nan,0.00010182337649086285,nan
FBNA23,40.0,-100.0,200,42,21.0,-47,1.9834710743801653e-11,1.9834710743801653e-11,3.9669421487603305e-11,9.256141579486166e-05,4.200025758466127e-06
FBNA23,40.0,-95.0,210,58,29.0,-41,-1.6528925619834712e-11,3.305785123966942e-12,-1.322314049586777e-11,9.256141579486166e-05,-1.4000085861553759e-06
FBNA23,40.0,-90.0,250,46,23.0,-40,-3.305785123966942e-12,0.0,-3.305785123966942e-12,9.256141579486166e-05,-3.500021465388439e-07
FBNA23,40.0,-85.0,280,44,22.0,-40,-3.305785123966942e-12,0.0,-3.305785123966942e-12,9.256141579486166e-05,-3.500021465388439e-07
FBNA23,40.0,-80.0,300,69,34.5,-41,-3.305785123966942e-12,0.0,-3.305785123966942e-12,9.256141579486166e-05,-3.500021465388439e-07
FBNA23,40.0,-75.0,320,102,51.0,-43,1.3223140495867768e-11,9.917355371900826e-12,2.3140495867768593e-11,9.256141579486166e-05,2.4500150257719075e-06
FBNA23,40.0,-70.0,320,120,60.0,-41,nan,-1.3223140495867768e-11,nan,9.256141579486166e-05,nan
FBNA23,35.0,-100.0,250,68,34.0,-42,6.611570247933884e-12,-3.305785123966942e-12,3.305785123966942e-12,8.259500683455063e-05,3.9223550498362635e-07
FBNA23,35.0,-95.0,230,48,24.0,-39,-6.611570247933884e-12,0.0,-6.611570247933884e-12,8.259500683455063e-05,-7.844710099672527e-07
FBNA23,35.0,-90.0,250,42,21.0,-38,-6.611570247933884e-12,-3.305785123966942e-12,-9.917355371900826e-12,8.259500683455063e-05,-1.176706514950879e-06
FBNA23,35.0,-85.0,260,41,20.5,-39,3.305785123966942e-12,3.305785123966942e-12,6.611570247933884e-12,8.259500683455063e-05,7.844710099672527e-07
FBNA23,35.0,-80.0,290,54,27.0,-39,-3.305785123966942e-12,0.0,-3.305785123966942e-12,8.259500683455063e-05,-3.9223550498362635e-07
FBNA23,35.0,-75.0,300,66,33.0,-40,0.0,-3.305785123966942e-12,-3.305785123966942e-12,8.259500683455063e-05,-3.9223550498362635e-07
FBNA23,35.0,-70.0,310,102,51.0,-41,nan,6.611570247933884e-12,nan,8.259500683455063e-05,nan
FBCA27,30.0,-120.0,310,27,13.5,-38,nan,-3.305785123966942e-12,nan,7.199999999999999e-05,nan
FBCA27,30.0,-115.0,300,23,11.5,-40,6.611570247933884e-12,0.0,6.611570247933884e-12,7.199999999999999e-05,8.999081726354457e-07
FBCA27,30.0,-110.0,290,33,16.5,-40,0.0,-9.917355371900826e-12,-9.917355371900826e-12,7.199999999999999e-05,-1.3498622589531684e-06
FBCA27,30.0,-105.0,280,37,18.5,-40,6.611570247933884e-12,-3.305785123966942e-12,3.305785123966942e-12,7.199999999999999e-05,4.4995408631772283e-07
FBCA27,30.0,-100.0,250,46,23.0,-38,-3.305785123966942e-12,-3.305785123966942e-12,-6.611570247933884e-12,7.199999999999999e-05,-8.999081726354457e-07
